document_id,project_id,project_name,publish_date,outlet,stance_code,frame_code,reasoning,coder,model_name
JKPOST0020130110e91a00012,P151,Medan–Kuala Namu toll road,2013-06-24,Tempo,Neutral,F1,Short news brief on China Exim–financed Medan–Kuala Namu toll road notes a currency-rate delay but mainly describes basic construction and funding details.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020130623e96o001xl,P181,Morowali nickel smelter,2013-07-24,The Jakarta Post,Supportive,F1,Article highlights Indonesia Eximbank’s support for export-oriented projects including a China–Indonesia Morowali smelter as part of growth-oriented lending expansion.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020130724e97o0001b,P029,General,2013-07-25,The Jakarta Post,Opposed,F2,"Report focuses on Bakrie firms’ losses and Moody’s downgrade driven by large debts including loans from China Development Bank and CIC, stressing refinancing risks.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020130725e97p00019,P151,Medan–Kuala Namu toll road,2013-07-26,The Jakarta Post,Supportive,F1,Editorial praises Kuala Namu airport and China Exim–financed toll road for closing infrastructure gaps and generating multiplier effects in western Indonesia.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020130726e97q0000e,P029,General,2013-07-29,The Jakarta Post,Supportive,F1,"Piece depicts Indonesia Eximbank’s overseas infrastructure financing as a tool to boost exports and expand markets, without noting major downsides.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020130729e97t0001b,P029,General,2013-09-12,The Jakarta Post,Opposed,F4,"Article criticizes central-government bureaucracy and weak monitoring for stalling Jakarta development projects, framing problems as governance failures.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020130912e99c0000v,P029,General,2013-09-20,The Jakarta Post,Supportive,F1,"Coverage of Xi Jinping’s visit stresses large planned Chinese investments, industrial estates and a bilateral swap line as ways to spur growth and stabilize the economy.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020130920e99k0000b,P110,Jakarta Monorail,2013-10-04,Tempo,Supportive,F1,Story presents Chinese-backed Jakarta Monorail construction and CCCC’s carriage investment as a positive infrastructure upgrade with technology and financing support.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020131003e9a40035x,P029,General,2013-11-06,Tempo,Neutral,F4,Report describes Jokowi’s plan to audit CSR funds and includes both transparency advocates’ praise and criticism of channeling CSR via government.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020131106e9b6001gu,P110,Jakarta Monorail,2014-02-18,The Jakarta Post,Opposed,F4,"Article emphasizes delays, doubts over Jakarta Monorail’s finances and unresolved obligations despite a claimed CCCC funding commitment, underscoring governance and project-management concerns.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140218ea2i00006,P110,Jakarta Monorail,2014-02-19,Tempo,Opposed,F4,News on unused monorail pillars and an unresolved price dispute between Jakarta Monorail and Adhi Karya frames the project as mired in contractual and oversight problems.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020140219ea2j001xh,P212,Transjakarta Chinese buses,2014-03-03,The Jakarta Post,Opposed,F4,Investigation into defective Chinese-made Transjakarta buses and irregularities in procurement highlights corruption and poor quality control in the project.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140303ea3300004,P110,Jakarta Monorail,2014-03-06,The Jakarta Post,Opposed,F4,"Story on further monorail delays, contract disputes and uncertain viability foregrounds institutional and regulatory obstacles rather than economic benefits.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140306ea360000z,P106,Indonesia Morowali Industrial Park,2014-03-19,The Jakarta Post,Supportive,F1,Article frames the Indonesia–China Morowali smelter and industrial park expansion as a billion-dollar investment that boosts processing capacity and supports downstream industry.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140319ea3j0001d,P029,General,2014-03-29,The Jakarta Post,Neutral,F1,"Coverage of Berau Coal’s losses attributes them largely to weaker coal demand from China and other markets, treating Chinese demand as a market factor rather than a political risk.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140329ea3t0001f,P026,Dairi Prima Mineral zinc and lead project,2014-04-04,The Jakarta Post,Supportive,F1,"Piece discusses BRMS’s restructuring, Chinese partners for the Dairi project and CIC’s equity swap as steps to refocus on Indonesian assets and future mining development.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140404ea440001f,P212,Transjakarta Chinese buses,2014-05-14,The Jakarta Post,Opposed,F4,"Article details a graft probe, inflated prices and the city’s refusal to pay for substandard Chinese-made buses, framing the procurement as a corruption and accountability failure.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140514ea5e00007,P029,General,2014-06-05,The Jakarta Post,Opposed,F2,"Story centers on Bumi Resources’ efforts to extend bond maturities and settle obligations to China Investment Corporation amid distress, underscoring heavy debt burdens.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140605ea650001b,P181,Morowali nickel smelter,2014-06-12,The Jakarta Post,Opposed,F4,"Op-ed critiques Chinese-built Morowali smelters as turnkey projects that risk limited skills transfer, opaque standards and weak localization of quality jobs.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140612ea6c0000q,P196,Oki Pulp and Paper Mills,2014-06-23,The Jakarta Post,Supportive,F1,"Business report presents the Oki Pulp plant, largely financed by a China Development Bank loan, as a major capacity-expanding investment without raising social or debt concerns.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140623ea6n00016,P196,Oki Pulp and Paper Mills,2014-06-27,The Jakarta Post,Supportive,F1,"Describes Tjiwi Kimia’s rights issue and CDB-financed OKI Pulp plant as an expansion to boost capacity, exports and downstream industry.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140627ea6r0001g,P029,General,2014-06-28,The Jakarta Post,Neutral,F2,"Reports Bumi Resources’ rights issue mainly as a mechanism to repay large debts including to CIC, without normative judgment on the financing.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140628ea6s0001k,P029,General,2014-07-02,The Jakarta Post,Neutral,F2,"Covers shareholder approval for Bumi’s rights issue focused on debt repayment to CIC and other lenders, framing Chinese capital as part of a broader debt overhang.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140702ea720001g,P096,Gorontalo Minerals copper/gold project,2014-07-04,The Jakarta Post,Supportive,F1,Highlights Bumi’s restructuring with CIC and Chinese firm NFC’s interest in the Gorontalo mine as steps to improve finances and develop mineral resources.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140704ea740001k,P143,Manado–Bitung toll road,2014-07-07,The Jakarta Post,Supportive,F1,Presents Chinese infrastructure loans as enabling long-stalled Manado–Bitung and Balikpapan–Samarinda toll roads to proceed and ease logistics bottlenecks.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140707ea7700018,P029,General,2014-07-22,The Jakarta Post,Supportive,F1,"Discusses government plans for new industrial estates outside Java, including Morowali, as tools to spread industrial growth and raise regional GDP without China-specific critique.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140722ea7m0002t,P029,General,2014-07-31,The Jakarta Post,Neutral,F1,"Analyzes Asia-Pacific private equity trends and mentions China only as part of regional market conditions, with an investment and growth focus.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140731ea7v0000r,P181,Morowali nickel smelter,2014-08-02,The Jakarta Post,Supportive,F1,Explains Indonesia Eximbank’s bond issuance and financing for smelters such as the Morowali nickel project in terms of export support and industrial upgrading.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140802ea8200016,P003,Asian Infrastructure Investment Bank (AIIB),2014-09-13,The Jakarta Post,Supportive,F5,Op-ed notes regional tensions but portrays China’s infrastructure investments and AIIB as a key opportunity for Asian connectivity and development.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140913ea9d0001a,P029,General,2014-09-21,Tempo,Neutral,F4,"Reports China’s corruption verdict and fine against GSK, centering on corporate bribery and regulatory enforcement rather than investment benefits or risks.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020140921ea9l001e1,P029,General,2014-09-26,The Jakarta Post,Neutral,F2,"Describes Bumi’s decision to delay a rights issue and renegotiate debts including to CIC, emphasizing balance-sheet stress from borrowing.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020140926ea9q0001i,P029,General,2014-10-02,The Jakarta Post,Opposed,F5,Readers’ comments portray China’s actions in the South China Sea and toward Indonesia as a growing strategic threat that demands a tougher Indonesian response.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141002eaa20000r,P029,General,2014-10-07,The Jakarta Post,Neutral,F2,"Details Bumi’s failure to raise planned rights-issue funds and ongoing negotiations with lenders including CDB and CIC, stressing the firm’s heavy debt burden.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141007eaa70001g,P143,Manado–Bitung toll road,2014-10-14,The Jakarta Post,Supportive,F1,"Celebrates ground-breaking of the Manado–Bitung toll road, funded by Chinese loans, as vital infrastructure to cut logistics costs and spur a new growth center.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141014eaae0001a,P003,Asian Infrastructure Investment Bank (AIIB),2014-10-18,The Jakarta Post,Supportive,F5,"Argues that AIIB is necessary to meet Asia’s infrastructure gap and should evolve into a multilateral bank, balancing concerns about Chinese influence with support for the initiative.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141018eaai0000i,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-03,The Jakarta Post,Supportive,F5,"Places AIIB in the context of APEC and regional finance, endorsing it as China’s contribution to closing Asia’s infrastructure financing deficit.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141103eab300003,P029,General,2014-11-03,Tempo,Supportive,F1,Covers a PT KAI–Jasa Marga–China Investment Fund MoU as a positive step toward developing Indonesian rail and toll-road infrastructure for public benefit.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020141103eab30028l,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-06,Tempo,Supportive,F5,"Quotes Kadin urging Indonesia to join AIIB to tap infrastructure funding, framing the China-initiated bank as a solution to state-budget constraints.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020141106eab6000ji,P029,General,2014-11-09,The Jakarta Post,Supportive,F5,Depicts Jokowi’s first trip to Beijing as focused on courting Chinese support for Indonesia’s maritime and infrastructure agenda and aligning with the Maritime Silk Road.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141109eab900003,P029,General,2014-11-10,The Jakarta Post,Supportive,F5,Describes Jokowi’s meeting with Xi as seeking deeper Chinese involvement in infrastructure and AIIB while emphasizing mutually beneficial strategic partnership.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141110eaba00002,P029,General,2014-11-10,Tempo,Supportive,F1,News on Jokowi’s APEC trip presents his invitation for Chinese investors in ports and power plants as a way to fund infrastructure and spur growth.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020141110eaba00231,P029,General,2014-11-11,Tempo,Supportive,F1,"Article describes the plan to build 13 industrial areas, including Morowali and other sites, as realizing Jokowi’s wish to accelerate industrial development without emphasizing downsides.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020141111eabb000ji,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-11,The Jakarta Post,Neutral,F5,"Commentary analyzes US-China competition and regional summits, highlighting China’s AIIB as a new strategic tool while weighing different powers’ roles without taking a clear side.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141111eabb0000i,P029,General,2014-11-11,The Jakarta Post,Supportive,F1,Report showcases Jokowi’s Beijing speech and his request for Chinese firms and AIIB support as a concrete plan to finance Indonesia’s massive infrastructure push.,final_thesis_labels,unspecified_llm_assisted_workflow
